ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	JLCPCB Part Class
"1"	"100nF"	"C1,C2,C3,C4,C5"	"C0603"	"5"	"CC0603KRX7R9BB104"	"YAGEO"	"LCSC"	"C14663"	""	"Basic Part"
"2"	"10uF"	"C6,C9"	"C1206"	"2"	"CS3216X5R106K500NRI"	"Samwha Capacitor"	"LCSC"	"C513774"	""	""
"3"	"22uF"	"C7,C8"	"C1210"	"2"	"GRM32ER61E226KE15L"	"MuRata"	"LCSC"	"C65428"	""	"Extended Part"
"4"	"X6511WV-04H-C30D60"	"H1,H2"	"HDR-TH_4P-P2.54-V-M"	"2"	"X6511WV-04H-C30D60"	"XKB Connectivity"	"LCSC"	"C706876"	""	"Extended Part"
"5"	"133-1A-12DS"	"K101,K102,K103,K104,K105,K106,K107,K108,K109,K110,K111,K112,K113,K114,K115,K116,K117,K118,K119,K120,K121,K122,K123,K124,K125,K126,K127,K128"	"RELAY-TH_133-1A-XXXX"	"28"	"133-1A-12DS"	"Hsin Da Precision"	"LCSC"	"C259261"	""	"Extended Part"
"6"	"TOS-3124DMG-9B4"	"LED1,LED2,LED3,LED4"	"LED-SEG-TH_TOS-3124DMG-9B4"	"4"	"TOS-3124DMG-9B4"	"OASIS"	"LCSC"	"C325438"	""	"Extended Part"
"7"	"100Ω"	"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128"	"R0603"	"28"	"PTFR0603B100RN9"	"ResistorToday"	"LCSC"	"C394538"	""	"Extended Part"
"8"	"SPEH130103"	"SW1,SW2"	"SW-SMD_L6.0-W6.0-LS6.6"	"2"	"SPEH130103"	"ALPS Electric"	"LCSC"	"C390925"	""	"Extended Part"
"9"	"STM32F030C8T6"	"U101"	"LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL"	"1"	"STM32F030C8T6"	"ST"	"LCSC"	"C23922"	""	"Basic Part"
"10"	"AMS1117-3.3_C165482"	"U102,U107"	"SOT-223_L6.5-W3.5-P2.30-LS7.0-BR"	"2"	"AMS1117-3.3"	"SK"	"LCSC"	"C165482"	""	"Extended Part"
"11"	"ULN2003AFWG"	"U103,U104,U105,U106"	"SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL"	"4"	"ULN2003AFWG"	"TOSHIBA"	"LCSC"	"C5437"	""	"Extended Part"
