Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0603"	"63.24mm"	"-47.37mm"	"63.24mm"	"-47.37mm"	"62.74mm"	"-47.87mm"	"T"	"45"	"100nF"
"C2"	"C0603"	"57.4mm"	"-62.23mm"	"57.4mm"	"-62.23mm"	"57.4mm"	"-61.53mm"	"T"	"270"	"100nF"
"C3"	"C0603"	"63.37mm"	"-61.98mm"	"63.37mm"	"-61.98mm"	"62.88mm"	"-61.48mm"	"T"	"315"	"100nF"
"C4"	"C0603"	"68.83mm"	"-59.44mm"	"68.83mm"	"-59.44mm"	"68.13mm"	"-59.44mm"	"T"	"0"	"100nF"
"C5"	"C0603"	"68.83mm"	"-61.34mm"	"68.83mm"	"-61.34mm"	"69.53mm"	"-61.34mm"	"T"	"180"	"100nF"
"C6"	"C1206"	"54.73mm"	"-69.98mm"	"54.73mm"	"-69.98mm"	"54.73mm"	"-71.57mm"	"T"	"90"	"10uF"
"C7"	"C1210"	"67.18mm"	"-68.83mm"	"67.18mm"	"-68.83mm"	"68.69mm"	"-68.83mm"	"T"	"180"	"22uF"
"C8"	"C1210"	"20.83mm"	"-54.61mm"	"20.83mm"	"-54.61mm"	"22.35mm"	"-54.61mm"	"T"	"180"	"22uF"
"C9"	"C1206"	"14.23mm"	"-53.72mm"	"14.23mm"	"-53.72mm"	"14.23mm"	"-52.13mm"	"T"	"270"	"10uF"
"H1"	"HDR-TH_4P-P2.54-V-M"	"46.73mm"	"-54.48mm"	"46.73mm"	"-54.48mm"	"42.92mm"	"-54.48mm"	"T"	"0"	"X6511WV-04H-C30D60"
"H2"	"HDR-TH_4P-P2.54-V-M"	"46.61mm"	"-63.63mm"	"46.61mm"	"-63.63mm"	"42.8mm"	"-63.63mm"	"T"	"0"	"X6511WV-04H-C30D60"
"K101"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"72.77mm"	"25.84mm"	"72.77mm"	"18.22mm"	"68.96mm"	"T"	"0"	"133-1A-12DS"
"K102"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"59.37mm"	"25.84mm"	"59.37mm"	"18.22mm"	"55.56mm"	"T"	"0"	"133-1A-12DS"
"K103"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"45.97mm"	"25.84mm"	"45.97mm"	"18.22mm"	"42.16mm"	"T"	"0"	"133-1A-12DS"
"K104"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"32.58mm"	"25.84mm"	"32.58mm"	"18.22mm"	"28.77mm"	"T"	"0"	"133-1A-12DS"
"K105"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"19.18mm"	"25.84mm"	"19.18mm"	"18.22mm"	"15.37mm"	"T"	"0"	"133-1A-12DS"
"K106"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"5.78mm"	"25.84mm"	"5.78mm"	"18.22mm"	"1.97mm"	"T"	"0"	"133-1A-12DS"
"K107"	"RELAY-TH_133-1A-XXXX"	"25.84mm"	"-7.62mm"	"25.84mm"	"-7.62mm"	"18.22mm"	"-11.43mm"	"T"	"0"	"133-1A-12DS"
"K108"	"RELAY-TH_133-1A-XXXX"	"49.13mm"	"72.77mm"	"49.13mm"	"72.77mm"	"41.51mm"	"68.96mm"	"T"	"0"	"133-1A-12DS"
"K109"	"RELAY-TH_133-1A-XXXX"	"49.13mm"	"59.37mm"	"49.13mm"	"59.37mm"	"41.51mm"	"55.56mm"	"T"	"0"	"133-1A-12DS"
